NODE
1|2.002505|49.046396|
2|2.002636|49.046749|
3|2.003218|49.046663|
4|2.003075|49.046209|
5|2.003522|49.047605|
6|2.003764|49.048266|
7|2.003616|49.048396|
8|2.002845|49.048503|
9|2.001560|49.048685|
10|2.001435|49.048623|
11|2.001370|49.048633|
12|2.001233|49.047978|
13|2.001150|49.047989|
14|2.001058|49.047449|
15|2.000982|49.047460|
16|2.000955|49.047201|
17|2.000875|49.047211|
18|2.000892|49.047099|
19|2.000999|49.047135|
20|2.000955|49.047076|
21|2.001544|49.046900|
22|2.002227|49.046805|
23|2.002356|49.046790|
24|2.002456|49.047098|
25|2.002808|49.047478|
26|2.002876|49.047698|
27|2.002386|49.047772|
28|2.003007|49.048179|
29|2.003177|49.048155|
30|2.002751|49.048223|
31|2.002145|49.048305|
32|2.002031|49.048256|
33|2.001892|49.047881|
34|2.001808|49.047576|
35|2.002188|49.047523|
36|2.001660|49.047147|
37|2.001182|49.047003|
ROAD
1001|1|2|193.636159|13.636060|40.436074|1|3.001000|0|
1002|2|3|282.637572|102.637133|43.455487|1|3.001000|2|
1003|2|23|102.554791|282.555003|20.921789|1|3.001000|0|
1004|23|22|100.218072|280.218170|9.590309|1|3.001000|0|
1005|22|21|101.980823|281.981339|50.886768|1|3.001000|0|
1006|21|20|114.483187|294.483632|47.168594|1|3.001000|2|
1007|20|18|119.284104|299.284151|5.205789|1|3.001000|0|
1008|20|19|206.075498|26.075465|7.328684|1|3.001000|0|
1009|18|17|174.117530|354.117544|12.586828|1|3.001000|0|
1010|17|15|195.872065|15.871983|28.727163|1|3.001000|0|
1011|15|13|191.695336|11.695210|60.114601|1|3.001000|0|
1012|19|16|156.571020|336.571053|8.046769|1|3.001000|0|
1013|16|17|100.652829|280.652890|5.954999|1|3.001000|0|
1014|16|14|195.211449|15.211371|28.554532|1|3.001000|0|
1015|14|12|192.254180|12.254048|60.193574|1|3.001000|0|
1016|13|12|281.377960|101.377897|6.200051|1|3.001000|0|
1017|12|33|282.702800|102.702303|49.203165|1|3.001000|0|
1018|33|34|10.127173|190.127236|34.485096|1|3.001000|0|
1019|34|36|12.805307|192.805419|48.896509|1|3.001000|0|
1020|36|21|17.136199|197.136286|28.717781|1|3.001000|0|
1021|34|35|282.037897|102.037611|28.257764|1|3.001000|0|
1022|33|32|193.649242|13.649137|42.898484|1|3.001000|0|
1023|32|31|237.019050|57.018964|9.947801|1|3.001000|0|
1024|31|30|281.667054|101.666596|45.089365|1|3.001000|0|
1025|30|8|192.400589|12.400518|31.969374|1|3.001000|0|
1026|8|7|282.005404|102.004822|57.468815|1|3.001000|0|
1027|7|6|323.371137|143.371026|18.054084|1|3.001000|0|
1028|5|6|193.505457|13.505275|75.521445|1|3.001000|0|
1029|5|3|11.949405|191.949635|107.042960|1|3.001000|0|
1030|5|26|102.310350|282.310838|48.188926|1|3.001000|0|
1031|26|27|102.996185|282.996555|36.687662|1|3.001000|0|
1032|23|24|191.986894|11.986818|35.056922|1|3.001000|0|
1033|24|25|211.257084|31.256818|49.441709|1|3.001000|0|
1034|26|25|11.520889|191.520940|24.886463|1|3.001000|0|
1035|26|29|203.310625|23.310398|55.381109|1|3.001000|0|
1036|29|28|102.197326|282.197454|12.630986|1|3.001000|0|
1037|28|30|104.533502|284.533696|19.319160|1|3.001000|0|
